captured_at,entry_id,on_off
2017-07-23 22:33:52 EDT,1,1
2017-07-23 22:34:52 EDT,2,0
2017-07-23 22:35:52 EDT,3,0
2017-07-23 22:36:53 EDT,4,0
2017-07-23 22:37:53 EDT,5,0
2017-07-23 22:38:53 EDT,6,0
2017-07-23 22:39:53 EDT,7,0
2017-07-23 22:40:53 EDT,8,0
2017-07-23 22:41:53 EDT,9,0
2017-07-23 22:42:54 EDT,10,0
2017-07-23 22:43:54 EDT,11,0
2017-07-23 22:44:54 EDT,12,0
2017-07-23 22:45:54 EDT,13,0
2017-07-23 22:46:54 EDT,14,1
2017-07-23 22:47:54 EDT,15,1
2017-07-23 22:48:55 EDT,16,1
2017-07-23 22:49:55 EDT,17,1
2017-07-23 22:50:55 EDT,18,1
2017-07-23 22:51:55 EDT,19,1
2017-07-23 22:52:55 EDT,20,1
2017-07-23 22:53:55 EDT,21,1
2017-07-23 22:54:56 EDT,22,1
2017-07-23 22:55:56 EDT,23,1
2017-07-23 22:56:56 EDT,24,0
2017-07-23 22:57:56 EDT,25,0
2017-07-23 22:58:56 EDT,26,0
2017-07-23 22:59:57 EDT,27,0
2017-07-23 23:00:57 EDT,28,0
2017-07-23 23:01:57 EDT,29,0
2017-07-23 23:02:57 EDT,30,0
2017-07-23 23:03:58 EDT,31,0
2017-07-23 23:04:58 EDT,32,0
2017-07-23 23:05:58 EDT,33,0
2017-07-23 23:06:58 EDT,34,0
2017-07-23 23:07:58 EDT,35,0
2017-07-23 23:08:58 EDT,36,1
2017-07-23 23:09:58 EDT,37,1
2017-07-23 23:10:59 EDT,38,1
2017-07-23 23:11:59 EDT,39,1
2017-07-23 23:12:59 EDT,40,1
2017-07-23 23:13:59 EDT,41,1
2017-07-23 23:14:59 EDT,42,1
2017-07-23 23:15:59 EDT,43,1
2017-07-23 23:17:00 EDT,44,1
2017-07-23 23:18:00 EDT,45,1
2017-07-23 23:19:00 EDT,46,0
2017-07-23 23:20:00 EDT,47,0
2017-07-23 23:21:00 EDT,48,0
2017-07-23 23:22:01 EDT,49,0
2017-07-23 23:23:01 EDT,50,0
2017-07-23 23:24:01 EDT,51,0
2017-07-23 23:25:02 EDT,52,0
2017-07-23 23:26:02 EDT,53,0
2017-07-23 23:27:02 EDT,54,0
2017-07-23 23:28:02 EDT,55,0
2017-07-23 23:29:03 EDT,56,0
2017-07-23 23:30:03 EDT,57,0
2017-07-23 23:31:04 EDT,58,0
2017-07-23 23:32:04 EDT,59,0
2017-07-23 23:33:04 EDT,60,0
2017-07-23 23:34:04 EDT,61,0
2017-07-23 23:35:05 EDT,62,0
2017-07-23 23:36:05 EDT,63,1
2017-07-23 23:37:05 EDT,64,1
2017-07-23 23:38:06 EDT,65,1
2017-07-23 23:39:06 EDT,66,1
2017-07-23 23:40:07 EDT,67,1
2017-07-23 23:41:07 EDT,68,1
2017-07-23 23:42:07 EDT,69,1
2017-07-23 23:43:08 EDT,70,0
2017-07-23 23:44:08 EDT,71,0
2017-07-23 23:45:09 EDT,72,0
2017-07-23 23:46:10 EDT,73,0
2017-07-23 23:47:10 EDT,74,0
2017-07-23 23:48:11 EDT,75,0
2017-07-23 23:49:11 EDT,76,0
2017-07-23 23:50:12 EDT,77,0
2017-07-23 23:51:12 EDT,78,0
2017-07-23 23:52:12 EDT,79,0
2017-07-23 23:53:12 EDT,80,0
2017-07-23 23:54:12 EDT,81,0
2017-07-23 23:55:12 EDT,82,0
2017-07-23 23:56:13 EDT,83,0
2017-07-23 23:57:13 EDT,84,0
2017-07-23 23:58:13 EDT,85,0
2017-07-23 23:59:13 EDT,86,0
2017-07-24 00:00:14 EDT,87,0
2017-07-24 00:01:15 EDT,88,0
2017-07-24 00:02:15 EDT,89,0
2017-07-24 00:03:15 EDT,90,0
2017-07-24 00:04:15 EDT,91,1
2017-07-24 00:05:15 EDT,92,1
2017-07-24 00:06:16 EDT,93,1
2017-07-24 00:07:16 EDT,94,1
2017-07-24 00:08:16 EDT,95,1
2017-07-24 00:09:16 EDT,96,1
2017-07-24 00:10:16 EDT,97,1
2017-07-24 00:11:16 EDT,98,0
2017-07-24 00:12:17 EDT,99,0
2017-07-24 00:13:17 EDT,100,0
2017-07-24 00:14:17 EDT,101,0
2017-07-24 00:15:17 EDT,102,0
2017-07-24 00:16:18 EDT,103,0
2017-07-24 00:17:18 EDT,104,0
2017-07-24 00:18:18 EDT,105,0
2017-07-24 00:19:18 EDT,106,0
2017-07-24 00:20:18 EDT,107,0
2017-07-24 00:21:19 EDT,108,0
2017-07-24 00:22:19 EDT,109,0
2017-07-24 00:23:19 EDT,110,0
2017-07-24 00:24:19 EDT,111,0
2017-07-24 00:25:19 EDT,112,0
2017-07-24 00:26:19 EDT,113,0
2017-07-24 00:27:20 EDT,114,0
2017-07-24 00:28:20 EDT,115,0
2017-07-24 00:29:20 EDT,116,0
2017-07-24 00:30:20 EDT,117,0
2017-07-24 00:31:20 EDT,118,0
2017-07-24 00:32:20 EDT,119,0
2017-07-24 00:33:21 EDT,120,0
2017-07-24 00:34:21 EDT,121,1
2017-07-24 00:35:21 EDT,122,1
2017-07-24 00:36:21 EDT,123,1
2017-07-24 00:37:22 EDT,124,1
2017-07-24 00:38:22 EDT,125,1
2017-07-24 00:39:22 EDT,126,1
2017-07-24 00:40:22 EDT,127,0
2017-07-24 00:41:22 EDT,128,0
2017-07-24 00:42:23 EDT,129,0
2017-07-24 00:43:23 EDT,130,0
2017-07-24 00:44:23 EDT,131,0
2017-07-24 00:45:23 EDT,132,0
2017-07-24 00:46:23 EDT,133,0
2017-07-24 00:47:23 EDT,134,0
2017-07-24 00:48:24 EDT,135,0
2017-07-24 00:49:24 EDT,136,0
2017-07-24 00:50:24 EDT,137,0
2017-07-24 00:51:24 EDT,138,0
2017-07-24 00:52:24 EDT,139,0
2017-07-24 00:53:24 EDT,140,0
2017-07-24 00:54:25 EDT,141,0
2017-07-24 00:55:25 EDT,142,0
2017-07-24 00:56:25 EDT,143,0
2017-07-24 00:57:25 EDT,144,0
2017-07-24 00:58:25 EDT,145,0
2017-07-24 00:59:26 EDT,146,0
2017-07-24 01:00:26 EDT,147,0
2017-07-24 01:01:26 EDT,148,0
2017-07-24 01:02:26 EDT,149,0
2017-07-24 01:03:27 EDT,150,0
2017-07-24 01:04:27 EDT,151,0
2017-07-24 01:05:27 EDT,152,0
2017-07-24 01:06:27 EDT,153,0
2017-07-24 01:07:27 EDT,154,0
2017-07-24 01:08:27 EDT,155,0
2017-07-24 01:09:28 EDT,156,0
2017-07-24 01:10:28 EDT,157,0
2017-07-24 01:11:28 EDT,158,0
2017-07-24 01:12:28 EDT,159,0
2017-07-24 01:13:28 EDT,160,1
2017-07-24 01:14:28 EDT,161,1
2017-07-24 01:15:29 EDT,162,1
2017-07-24 01:16:29 EDT,163,1
2017-07-24 01:17:29 EDT,164,1
2017-07-24 01:18:29 EDT,165,0
2017-07-24 01:19:29 EDT,166,0
2017-07-24 01:20:30 EDT,167,0
2017-07-24 01:21:30 EDT,168,0
2017-07-24 01:22:30 EDT,169,0
2017-07-24 01:23:30 EDT,170,0
2017-07-24 01:24:30 EDT,171,0
2017-07-24 01:25:31 EDT,172,0
2017-07-24 01:26:31 EDT,173,0
2017-07-24 01:27:31 EDT,174,0
2017-07-24 01:28:31 EDT,175,0
2017-07-24 01:29:32 EDT,176,0
2017-07-24 01:30:32 EDT,177,0
2017-07-24 01:31:32 EDT,178,0
2017-07-24 01:32:32 EDT,179,0
2017-07-24 01:33:32 EDT,180,0
2017-07-24 01:34:32 EDT,181,0
2017-07-24 01:35:33 EDT,182,0
2017-07-24 01:36:33 EDT,183,0
2017-07-24 01:37:33 EDT,184,0
2017-07-24 01:38:33 EDT,185,0
2017-07-24 01:39:33 EDT,186,0
2017-07-24 01:40:34 EDT,187,0
2017-07-24 01:41:34 EDT,188,0
2017-07-24 01:42:34 EDT,189,0
2017-07-24 01:43:34 EDT,190,0
2017-07-24 01:44:34 EDT,191,0
2017-07-24 01:45:35 EDT,192,0
2017-07-24 01:46:35 EDT,193,0
2017-07-24 01:47:35 EDT,194,0
2017-07-24 01:48:36 EDT,195,0
2017-07-24 01:49:36 EDT,196,0
2017-07-24 01:50:36 EDT,197,0
2017-07-24 01:51:36 EDT,198,0
2017-07-24 01:52:36 EDT,199,0
2017-07-24 01:53:37 EDT,200,0
2017-07-24 01:54:37 EDT,201,0
2017-07-24 01:55:37 EDT,202,0
2017-07-24 01:56:37 EDT,203,0
